demographics_sex,demographics_age,demographics_city,education_career_education_university,education_career_education_faculty
мужской,22.0,Подольск,РТУ МИРЭА,Институт информационных технологий
женский,22.0,Paris,Неизвестно,Неизвестно
мужской,22.0,Химки,Неизвестно,Неизвестно
мужской,22.0,Москва,Неизвестно,Неизвестно
женский,22.0,Москва,Неизвестно,Неизвестно
мужской,19.0,Москва,Неизвестно,Неизвестно
мужской,22.0,Москва,Неизвестно,Неизвестно
мужской,21.0,Москва,Неизвестно,Неизвестно
мужской,21.0,Москва,Неизвестно,Неизвестно
женский,22.0,Москва,Неизвестно,Неизвестно
мужской,21.0,Пенза,РТУ МИРЭА,Неизвестно
мужской,22.0,Качалино,Неизвестно,Неизвестно
мужской,22.0,Москва,Неизвестно,Неизвестно
мужской,26.0,Пенза,Неизвестно,Неизвестно
мужской,22.0,Москва,Неизвестно,Неизвестно
мужской,22.0,Москва,Неизвестно,Неизвестно
мужской,22.0,Москва,РТУ МИРЭА,Неизвестно
мужской,18.0,Барнаул,Неизвестно,Неизвестно
мужской,23.0,Химки,Неизвестно,Неизвестно
женский,22.0,Москва,РТУ МИРЭА,Институт информационных технологий
мужской,22.0,Москва,Неизвестно,Неизвестно
мужской,22.0,Москва,Неизвестно,Неизвестно
мужской,20.0,Москва,Неизвестно,Неизвестно
женский,22.0,Москва,Неизвестно,Неизвестно
мужской,23.0,Одинцово,Неизвестно,Неизвестно
мужской,25.0,Москва,РТУ МИРЭА,Институт информационных технологий
мужской,22.0,Жуковский,Неизвестно,Неизвестно
мужской,22.0,Москва,Неизвестно,Неизвестно
женский,22.0,Toronto,Неизвестно,Неизвестно
мужской,22.0,Москва,Неизвестно,Неизвестно
женский,22.0,Москва,Неизвестно,Неизвестно
женский,22.0,Москва,Неизвестно,Неизвестно
женский,22.0,Москва,Неизвестно,Неизвестно
мужской,22.0,Химки,Неизвестно,Неизвестно
мужской,22.0,Москва,Неизвестно,Неизвестно
мужской,22.0,Химки,Неизвестно,Неизвестно
мужской,56.0,Москва,Неизвестно,Неизвестно
мужской,27.0,Москва,Неизвестно,Неизвестно
мужской,22.0,Старый Оскол,Неизвестно,Неизвестно
мужской,23.0,Ōfunato,Неизвестно,Неизвестно
мужской,22.0,Москва,Неизвестно,Неизвестно
мужской,40.0,Москва,МГУПИ,Институт высоких технологий
женский,22.0,Москва,Неизвестно,Неизвестно
мужской,22.0,Москва,Неизвестно,Неизвестно
мужской,22.0,Москва,Неизвестно,Неизвестно
мужской,20.0,Москва,РТУ МИРЭА,Институт информационных технологий
мужской,22.0,Москва,РТУ МИРЭА,Неизвестно
мужской,22.0,Химки,Неизвестно,Неизвестно
мужской,22.0,Москва,Неизвестно,Неизвестно
женский,22.0,Москва,МГИМО МИД России,Неизвестно
женский,21.0,Москва,Неизвестно,Неизвестно
мужской,22.0,Москва,МГТУ им. Н. Э. Баумана (бывш. МВТУ),Неизвестно
мужской,20.0,Москва,РТУ МИРЭА,Институт информационных технологий
мужской,22.0,Бронницы,Неизвестно,Неизвестно
мужской,22.0,Москва,Неизвестно,Неизвестно
мужской,21.0,Москва,РТУ МИРЭА,Институт информационных технологий
мужской,22.0,Москва,Неизвестно,Неизвестно
мужской,22.0,Москва,РТУ МИРЭА,Институт информационных технологий
мужской,21.0,Москва,РТУ МИРЭА,Институт информационных технологий
мужской,22.0,Москва,Неизвестно,Неизвестно
мужской,22.0,Fukuoka,Неизвестно,Неизвестно
мужской,22.0,Москва,Неизвестно,Неизвестно
мужской,22.0,Санкт-Петербург,РТУ МИРЭА,Институт информационных технологий
женский,22.0,Химки,Неизвестно,Неизвестно
мужской,22.0,Одинцово,Неизвестно,Неизвестно
женский,22.0,Москва,РТУ МИРЭА,Институт информационных технологий
мужской,22.0,Москва,Неизвестно,Неизвестно
женский,22.0,Москва,Неизвестно,Неизвестно
женский,22.0,Москва,Неизвестно,Неизвестно
мужской,22.0,Москва,Неизвестно,Неизвестно
мужской,22.0,Москва,Неизвестно,Неизвестно
мужской,22.0,Минск,Неизвестно,Неизвестно
мужской,22.0,Москва,МГТУ им. Н. Э. Баумана (бывш. МВТУ),Неизвестно
мужской,22.0,Москва,Неизвестно,Неизвестно
мужской,24.0,Москва,Неизвестно,Неизвестно
мужской,21.0,Москва,Неизвестно,Неизвестно
мужской,22.0,Москва,Неизвестно,Неизвестно
мужской,21.0,Москва,Неизвестно,Неизвестно
мужской,22.0,Москва,РТУ МИРЭА,Неизвестно
мужской,22.0,Москва,РТУ МИРЭА,Неизвестно
мужской,22.0,Москва,РТУ МИРЭА,Неизвестно
мужской,22.0,Москва,Неизвестно,Неизвестно
женский,22.0,Москва,Неизвестно,Неизвестно
мужской,22.0,Москва,Неизвестно,Неизвестно
мужской,22.0,Химки,Неизвестно,Неизвестно
женский,22.0,Химки,Неизвестно,Неизвестно
женский,22.0,Москва,Неизвестно,Неизвестно
мужской,22.0,Химки,Неизвестно,Неизвестно
мужской,22.0,Таганрог,Неизвестно,Неизвестно
мужской,22.0,Евпатория,Неизвестно,Неизвестно
мужской,22.0,Москва,Неизвестно,Неизвестно
мужской,22.0,Москва,Неизвестно,Неизвестно
женский,22.0,Рязань,Неизвестно,Неизвестно
мужской,22.0,Berlin,Неизвестно,Неизвестно
мужской,22.0,Санкт-Петербург,Неизвестно,Неизвестно
мужской,18.0,Пенза,Неизвестно,Неизвестно
мужской,22.0,Королёв,РТУ МИРЭА,Неизвестно
женский,22.0,Москва,Неизвестно,Неизвестно
мужской,20.0,Москва,Неизвестно,Неизвестно
мужской,26.0,Москва,Неизвестно,Неизвестно
женский,22.0,Москва,МИРЭА (до 2015),Факультет информационных технологий
мужской,22.0,Москва,РТУ МИРЭА,Институт информационных технологий
мужской,22.0,Москва,РТУ МИРЭА,Институт информационных технологий
мужской,23.0,Москва,РТУ МИРЭА,Институт кибербезопасности и цифровых технологий
женский,22.0,Москва,РХТУ им. Д. И. Менделеева,Факультет химико-фармацевтических технологий и биомедицинских препаратов
женский,24.0,Москва,Неизвестно,Неизвестно
женский,25.0,Москва,РТУ МИРЭА,Неизвестно
женский,22.0,Москва,Неизвестно,Неизвестно
мужской,22.0,Москва,РТУ МИРЭА,Институт информационных технологий
женский,20.0,Москва,Неизвестно,Неизвестно
мужской,22.0,Москва,Неизвестно,Неизвестно
мужской,22.0,Москва,Неизвестно,Неизвестно
мужской,22.0,Москва,Неизвестно,Неизвестно
мужской,22.0,Москва,Неизвестно,Неизвестно
мужской,22.0,Москва,Неизвестно,Неизвестно
мужской,23.0,Москва,Неизвестно,Неизвестно
мужской,22.0,Москва,Неизвестно,Неизвестно
женский,22.0,Москва,Неизвестно,Неизвестно
мужской,22.0,Москва,Неизвестно,Неизвестно
мужской,27.0,Санкт-Петербург,Неизвестно,Неизвестно
мужской,22.0,Бердск,Неизвестно,Неизвестно
мужской,72.0,Москва,МГУ,Философский
мужской,22.0,Москва,Неизвестно,Неизвестно
женский,23.0,Химки,РХТУ им. Д. И. Менделеева,Неизвестно
женский,22.0,Москва,Неизвестно,Неизвестно
мужской,22.0,Москва,Неизвестно,Неизвестно
мужской,21.0,Москва,Неизвестно,Неизвестно
женский,22.0,Москва,"Президентская академия (РАНХиГС, бывш. АНХ)",Неизвестно
мужской,22.0,Кизнер (поселок),Неизвестно,Неизвестно
мужской,21.0,Москва,Неизвестно,Неизвестно
мужской,22.0,Москва,Неизвестно,Неизвестно
мужской,22.0,Москва,Неизвестно,Неизвестно
женский,22.0,Москва,Неизвестно,Неизвестно
женский,23.0,Москва,Неизвестно,Неизвестно
мужской,22.0,Москва,Неизвестно,Неизвестно
мужской,22.0,Воронеж,Неизвестно,Неизвестно
мужской,21.0,Москва,РТУ МИРЭА,Институт информационных технологий
мужской,22.0,Москва,РЭУ им. Г. В. Плеханова,Факультет бизнеса «Капитаны»
мужской,53.0,Москва,Неизвестно,Неизвестно
мужской,19.0,Москва,Неизвестно,Неизвестно
мужской,22.0,Москва,Неизвестно,Неизвестно
женский,22.0,Симферополь,Неизвестно,Неизвестно
мужской,22.0,Москва,Неизвестно,Неизвестно
мужской,22.0,Москва,Неизвестно,Неизвестно
мужской,22.0,Москва,Неизвестно,Неизвестно
мужской,22.0,Подольск,Неизвестно,Неизвестно
